Environment,Service,OS,SQL,EndpointInfo,URL
DEV,Branch,Windows,MSSQL,Swagger,http://10.4.1.232/kiwiservices/branchservice/swagger/
DEV,Branch,Linux,MySQL,Swagger,http://10.4.1.233/kiwiservices/branchservice/swagger/
DEV,Branch,Windows,MSSQL,Info,http://10.4.1.232/kiwiservices/branchservice/v1/info/
DEV,Branch,Linux,MySQL,Info,http://10.4.1.233/kiwiservices/branchservice/v1/info/
DEV,Branch,Windows,MSSQL,BranchByKey,http://10.4.1.232/kiwiservices/branchservice/v1/branches/pu
DEV,Branch,Linux,MySQL,BranchByKey,http://10.4.1.233/kiwiservices/branchservice/v1/branches/pu
DEV,BranchSetting,Windows,MSSQL,Swagger,http://10.4.1.232/kiwiservices/branchsettingservice/swagger/
DEV,BranchSetting,Linux,MySQL,Swagger,http://10.4.1.233/kiwiservices/branchsettingservice/swagger/
DEV,BranchSetting,Windows,MSSQL,Info,http://10.4.1.232/kiwiservices/branchsettingservice/v1/info/
DEV,BranchSetting,Linux,MySQL,Info,http://10.4.1.233/kiwiservices/branchsettingservice/v1/info/
DEV,BranchSetting,Windows,MSSQL,Setting,http://10.4.1.232/kiwiservices/branchsettingservice/v1/BranchSettings?branchKey=pu
DEV,BranchSetting,Linux,MySQL,Setting,http://10.4.1.233/kiwiservices/branchsettingservice/v1/BranchSettings?branchKey=pu
DEV,BranchPrinter,Windows,MSSQL,Swagger,http://10.4.1.232/kiwiservices/branchprinterservice/swagger/
DEV,BranchPrinter,Linux,MySQL,Swagger,http://10.4.1.233/kiwiservices/branchprinterservice/swagger/
DEV,BranchPrinter,Windows,MSSQL,Info,http://10.4.1.232/kiwiservices/branchprinterservice/v1/info/
DEV,BranchPrinter,Linux,MySQL,Info,http://10.4.1.233/kiwiservices/branchprinterservice/v1/info/
DEV,BranchPrinter,Windows,MSSQL,Printer,http://10.4.1.232/kiwiservices/branchprinterservice/v1/BranchPrinters?branchKey=pu
DEV,BranchPrinter,Linux,MySQL,Printer,http://10.4.1.233/kiwiservices/branchprinterservice/v1/BranchPrinters?branchKey=pu
DEV,Oauth,Windows,MSSQL,WellKnown,http://10.4.1.232/kiwiservices/oauthservice/.well-known/openid-configuration
DEV,Oauth,Linux,MySQL,WellKnown,http://10.4.1.233/kiwiservices/oauthservice/.well-known/openid-configuration
UAT,Branch,Windows,MSSQL,Swagger,http://10.204.2.221/kiwiservices/branchservice/swagger/
UAT,Branch,Windows,MySQL,Swagger,http://10.204.2.13/kiwiservices/branchservice/swagger/
UAT,Branch,Linux,MSSQL,Swagger,http://10.204.2.29/kiwiservices/branchservice/swagger/
UAT,Branch,Windows,MSSQL,Info,http://10.204.2.221/kiwiservices/branchservice/v1/info/
UAT,Branch,Windows,MySQL,Info,http://10.204.2.13/kiwiservices/branchservice/v1/info/
UAT,Branch,Linux,MSSQL,Info,http://10.204.2.29/kiwiservices/branchservice/v1/info/
UAT,Branch,Windows,MSSQL,BranchByKey,http://10.204.2.221/kiwiservices/branchservice/v1/branches/wz
UAT,Branch,Windows,MySQL,BranchByKey,http://10.204.2.13/kiwiservices/branchservice/v1/branches/wz
UAT,Branch,Linux,MSSQL,BranchByKey,http://10.204.2.29/kiwiservices/branchservice/v1/branches/wz
UAT,BranchSetting,Windows,MSSQL,Swagger,http://10.204.2.221/kiwiservices/branchsettingservice/swagger/
UAT,BranchSetting,Windows,MySQL,Swagger,http://10.204.2.13/kiwiservices/branchsettingservice/swagger/
