Environment,Service,ServerType,OS,SQL,EndpointInfo,URL
DEV,Branch,Store,Windows,MSSQL,BranchByKey,http://10.4.1.232/kiwiservices/branchservice/v1/branches/pu
DEV,Branch,Store,Linux,MySQL,BranchByKey,http://10.4.1.233/kiwiservices/branchservice/v1/branches/pu
DEV,Branch,National,Windows,MSSQL,BranchByKey,http://10.204.1.21/kiwiservices/branchservice/v1/branches/pu
DEV,BranchSetting,Store,Windows,MSSQL,Setting,http://10.4.1.232/kiwiservices/branchsettingservice/v1/BranchSettings?branchKey=pu
DEV,BranchSetting,Store,Linux,MySQL,Setting,http://10.4.1.233/kiwiservices/branchsettingservice/v1/BranchSettings?branchKey=pu
DEV,BranchSetting,National,Windows,MSSQL,Setting,http://10.204.1.21/kiwiservices/branchsettingservice/v1/BranchSettings?branchKey=pu
DEV,BranchPrinter,Store,Windows,MSSQL,Printer,http://10.4.1.232/kiwiservices/branchprinterservice/v1/BranchPrinters?branchKey=pu
DEV,BranchPrinter,Store,Linux,MySQL,Printer,http://10.4.1.233/kiwiservices/branchprinterservice/v1/BranchPrinters?branchKey=pu
DEV,BranchPrinter,Store,Windows,MSSQL,Printer,http://10.204.1.21/kiwiservices/branchprinterservice/v1/BranchPrinters?branchKey=pu
DEV,Oauth,Store,Windows,MSSQL,WellKnown,http://10.4.1.232/kiwiservices/oauthservice/.well-known/openid-configuration
DEV,Oauth,Store,Linux,MySQL,WellKnown,http://10.4.1.233/kiwiservices/oauthservice/.well-known/openid-configuration
DEV,Oauth,National,Windows,MSSQL,WellKnown,http://10.204.1.21/kiwiservices/oauthservice/.well-known/openid-configuration
UAT,Branch,Store,Windows,MSSQL,BranchByKey,http://10.204.2.221/kiwiservices/branchservice/v1/branches/wz
UAT,Branch,Store,Windows,MySQL,BranchByKey,http://10.204.2.13/kiwiservices/branchservice/v1/branches/wz
UAT,Branch,Store,Linux,MSSQL,BranchByKey,http://10.204.2.29/kiwiservices/branchservice/v1/branches/wz
UAT,Branch,National,Windows,MSSQL,BranchByKey,http://10.204.2.222/kiwiservices/branchservice/v1/branches/wz
UAT,BranchSetting,Store,Windows,MSSQL,Setting,http://10.204.2.221/kiwiservices/branchsettingservice/v1/BranchSettings?branchKey=pu
UAT,BranchSetting,Store,Windows,MySQL,Setting,http://10.204.2.13/kiwiservices/branchsettingservice/v1/BranchSettings?branchKey=pu
UAT,BranchSetting,Store,Linux,MSSQL,Setting,http://10.204.2.29/kiwiservices/branchsettingservice/v1/BranchSettings?branchKey=pu
UAT,BranchSetting,National,Windows,MSSQL,Setting,http://10.204.2.222/kiwiservices/branchsettingservice/v1/BranchSettings?branchKey=pu
UAT,BranchPrinter,Store,Windows,MSSQL,Printer,http://10.204.2.221/kiwiservices/branchprinterservice/v1/BranchPrinters?branchKey=wz
UAT,BranchPrinter,Store,Windows,MySQL,Printer,http://10.203.1.13/kiwiservices/branchprinterservice/v1/BranchPrinters?branchKey=wz
UAT,BranchPrinter,Store,Linux,MSSQL,Printer,http://10.204.2.29/kiwiservices/branchprinterservice/v1/BranchPrinters?branchKey=wz
UAT,BranchPrinter,National,Linux,MSSQL,Printer,http://10.204.2.222/kiwiservices/branchprinterservice/v1/BranchPrinters?branchKey=wz
UAT,Oauth,Store,Windows,MSSQL,WellKnown,http://10.204.2.221/kiwiservices/oauthservice/.well-known/openid-configuration
UAT,Oauth,Store,Windows,MySQL,WellKnown,http://10.204.2.13/kiwiservices/oauthservice/.well-known/openid-configuration
UAT,Oauth,Store,Linux,MySQL,WellKnown,http://10.204.2.29/kiwiservices/oauthservice/.well-known/openid-configuration
UAT,Oauth,National,Windows,MSSQL,WellKnown,http://10.204.2.222/kiwiservices/oauthservice/.well-known/openid-configuration
